name,par_rank,k_q1,k_q2,k_q3,k_q4,k_q5,k_top10pc,k_top1pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas State University,0.504332895,0.121050497,0.158396142,0.236484251,0.275051189,0.209017921,0.099586869,0.008594051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas State University - Beebe,0.507635843,0.161490827,0.190076588,0.244696448,0.256090279,0.147645858,0.059393812,0.002619985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas Tech University,0.527529525,0.115159896,0.166092181,0.219400516,0.287028755,0.212318652,0.106616109,0.008687106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armstrong Atlantic State University,0.582635835,0.13185162,0.169638526,0.211200461,0.276270151,0.211039242,0.08662325,0.004858752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art Center College Of Design,0.59027931,0.200233934,0.15859371,0.121607462,0.152253426,0.367311467,0.258871013,0.044223965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art Institute Of Colorado ,0.569805633,0.138269311,0.210404469,0.238053667,0.245105452,0.1681671,0.063420188,0.004654616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art Institute Of Fort Lauderdale ,0.495518881,0.183604275,0.22218232,0.236050577,0.219816531,0.138346297,0.070243079,0.004426321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art Institute Of Houston ,0.512460686,0.160958834,0.184047127,0.221110701,0.249017557,0.184865781,0.073609891,0.001992153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art Institute Of New York City ,0.430609775,0.162778276,0.223117867,0.249336391,0.2311821,0.133585366,0.067468235,0.005436787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art Institute Of Philadelphia ,0.55022218,0.161382621,0.216915265,0.212799803,0.225089739,0.183812572,0.075171624,0.002345937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art Institute Of Phoenix ,0.577761396,0.158861423,0.16494723,0.229180764,0.267442647,0.179567935,0.059100439,0.003264882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art Institute Of Pittsburgh ,0.518061306,0.149596777,0.212617524,0.283729417,0.219034879,0.135021402,0.061770957,0.003750725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art Institute Of Portland ,0.603235867,0.176830559,0.232252947,0.19985716,0.212966104,0.178093229,0.079631984,0.002855534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art Institute Of Seattle ,0.590799189,0.160600311,0.187282627,0.229138051,0.243556342,0.179422668,0.076880909,0.003964817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art Institute Of York  - Pennsylvania,0.585535569,0.114745354,0.18482027,0.301107001,0.256733197,0.142594178,0.045928606,0.005427253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art Institutes International Minnesota ,0.583630322,0.093564599,0.164453072,0.257062746,0.301796954,0.183122629,0.073381091,0.000740293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asbury College,0.670016673,0.139159026,0.163779233,0.213676577,0.259859003,0.223526161,0.101544487,0.010367584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asheville Buncombe Technical Community College,0.510079474,0.152511333,0.244515465,0.277638715,0.229189385,0.096145103,0.028622743,0.001512274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashland University,0.641117819,0.08936201,0.125074627,0.211619943,0.345808795,0.228134625,0.115072827,0.006662591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asnuntuck Community College,0.61821918,0.13212725,0.17991846,0.263718986,0.251273163,0.172962141,0.062770384,0.005533008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assumption College,0.762152529,0.055939547,0.070406731,0.092052454,0.253873879,0.527727389,0.26372367,0.02167441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athens Technical College,0.483782779,0.141865708,0.243289129,0.261089618,0.238761117,0.114994429,0.032376331,0.001679223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta Metropolitan  State College,0.394383256,0.137978753,0.261969024,0.299533351,0.22592595,0.074592923,0.032605896,0.000848215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta Technical College,0.311169574,0.17376133,0.354500823,0.29377425,0.122657405,0.055306193,0.019851145,0.000833472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic Cape Community College,0.509066352,0.150453916,0.232723986,0.245491873,0.207394664,0.16393556,0.06531123,0.000781307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
